PRODUCT_CODE	DESCRIPTION	GTIN14	ASIN	IS_ACTIVE	FORMAT_TYPE	RELEASE_DATE	RATING	LONG_COPY_TEXT	SHORT_COPY_TEXT	LIFECYCLE	EARLY_ACCESS	PRE_ORDER	NEW_RELEASE	CATALOGUE	BOX_SET	STEELBOOK	MERCHANDISE	PRIMARY_ARTIST	LEAD_ACTOR	LEAD_DIRECTOR	GENRE_DESCRIPTION	IMAGE_URL_1	IMAGE_URL_2	IMAGE_URL_3	IMAGE_URL_4	IMAGE_URL_5	IMAGE_URL_6	IMAGE_URL_7	IMAGE_URL_8	IMAGE_URL_9	REGION_DESCRIPTION	RUNTIME_MINUTES	NUMBER_OF_DISCS	PRODUCTION_YEAR	ORIGINAL_LANGUAGE	SUBTITLES_DESCRIPTION	SOUND_DESCRIPTION	RECORDING_DESCRIPTION	COLOUR_DESCRIPTION	FRANCHISE_DESCRIPTION	FRANCHISE_GROUP_DESCRIPTION	VENDOR_DESCRIPTION	DISTRIBUTOR_DESCRIPTION	SUPPLIER_DESCRIPTION	EBAY_STATUS	EBAY_DESCRIPTION	EBAY_SUBTITLE	EBAY_WAS_PRICE	EBAY_SELLING_PRICE	EBAY_STOCK_QUANTITY	EBAY_CATEGORY_ID	AMAZON_STATUS	AMAZON_DESCRIPTION	AMAZON_SUBTITLE	AMAZON_WAS_PRICE	AMAZON_SELLING_PRICE	AMAZON_STOCK_QUANTITY	WALMART_STATUS	WALMART_DESCRIPTION	WALMART_SUBTITLE	WALMART_WAS_PRICE	WALMART_SELLING_PRICE	WALMART_STOCK_QUANTITY	BRAND	EAN	UPC	REGION_CODE	RELEASE_YEAR	GENRE	ACTION_EBAY	CATEGORY_EBAY	CONDITION_EBAY	RATING_EBAY
1000819674	Record of Ragnarok [Blu-ray]	00782009247715	B0BSNWVBGY	Y	Blu-ray	2023-04-04	NR	Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin!<br/><br/>	""	CAT	""	N	N	""	N	N	N	""	""	""	Anime	https://www.gruv.com/assets/images/site/product/ingram/VIZ-BR819674.jpg	""	""	""	""	""	""	""	""	Region A	288	2	2021	""	""	""	""	COLOR	""	""	SDS	Warner Bros.	Viz Media	A	Record of Ragnarok Blu-ray  NEW	""	44.9800	31.4900	9	0	A	Record of Ragnarok (BD) [Blu-ray]	""	44.9800	31.4900	9	A	Record of Ragnarok (BD) [Blu-ray]	""	44.9800	31.4900	24	Viz Media	0782009247715	782009247715	region_a	2023	Anime	""	617	1000	NR
1000822952	WWE: Royal Rumble 2023 [DVD]	00651191958528	B0BP8D3H1Q	Y	DVD	2023-02-28	NR	Royal Rumble has been a steppingstone for Superstars to rise to legendary status with the chance to headline WrestleMania. Which Superstar will take their career to the next level by being the last Superstar standing in WWE’s most regal over<br/><br/>	""	CAT	""	N	N	""	N	N	N	""	""	""	Sport|Wrestling	https://www.gruv.com/assets/images/0/0/3/1/7/mm00317719.jpg	https://www.gruv.com/assets/images/0/0/3/1/7/mm00317719.jpg	https://www.gruv.com/assets/images/0/0/3/1/7/mm00317719_bs.jpg	""	""	""	""	""	""	Region 1	309	1	2023	""	""	""	""	Colour	""	""	SDS	Warner Bros.	Warner Bros.	A	WWE Royal Rumble 2023 DVD  NEW	""	0.0000	14.9600	5	0	A	WWE: Royal Rumble 2023 [DVD]	""	0.0000	14.9600	5	A	WWE: Royal Rumble 2023 [DVD]	""	0.0000	14.9600	12	Warner Bros.	0651191958528	651191958528	region_a	2023	Sport|Wrestling	""	617	1000	NR
